=== RUN   TestToImageBuffer
index=13, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=13, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=13, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=13, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=13, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=13, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=13, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=14, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=14, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=14, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=14, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=14, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=14, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=14, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=14, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=15, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=15, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=15, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=15, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=15, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=15, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=15, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=15, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=16, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=16, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=16, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=16, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=16, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=16, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=16, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=16, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=17, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=17, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=17, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=17, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=17, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=17, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=17, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=17, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=18, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=18, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=18, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=18, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=18, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=18, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=18, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=18, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=19, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=19, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=19, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=19, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=19, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=19, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=19, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=19, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=20, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=20, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=20, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=20, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=20, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=20, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=20, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=20, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=21, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=21, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=21, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=21, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=21, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=21, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=21, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=21, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=22, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=22, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=22, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=22, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=22, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=22, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=22, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=22, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=23, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=23, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=23, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=23, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=23, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=23, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=23, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=23, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=24, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=24, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=24, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
